cpu-bind=MASK - n2cn0405, task  0  0 [33774]: mask |BBBBBBBB|BBBBBBBB||BBBBBBBB|BBBBBBBB||BBBBBBBB|BBBBBBBB||BBBBBBBB|BBBBBBBB||||BBBBBBBB|BBBBBBBB||BBBBBBBB|BBBBBBBB||BBBBBBBB|BBBBBBBB||BBBBBBBB|BBBBBBBB|  set
cpu-bind=MASK - n2cn0410, task 160 32 [27908]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||B-------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 161 33 [27909]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||-B------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 162 34 [27910]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--B-----|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 163 35 [27911]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||---B----|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 221 29 [30009]: mask |--------|--------||--------|-----B--||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 222 30 [30010]: mask |--------|--------||--------|------B-||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 223 31 [30011]: mask |--------|--------||--------|-------B||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 224 32 [30012]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||B-------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 225 33 [30013]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||-B------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 226 34 [30014]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--B-----|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 227 35 [30015]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||---B----|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 86 22 [534394]: mask |--------|--------||------B-|--------||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 87 23 [534395]: mask |--------|--------||-------B|--------||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 88 24 [534396]: mask |--------|--------||--------|B-------||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 89 25 [534397]: mask |--------|--------||--------|-B------||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 90 26 [534398]: mask |--------|--------||--------|--B-----||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 91 27 [534399]: mask |--------|--------||--------|---B----||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 92 28 [534400]: mask |--------|--------||--------|----B---||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 164 36 [27912]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||----B---|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 165 37 [27913]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||-----B--|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 166 38 [27914]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||------B-|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 167 39 [27915]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||-------B|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 168 40 [27916]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--------|B-------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 169 41 [27917]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--------|-B------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 170 42 [27918]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--------|--B-----||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 228 36 [30016]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||----B---|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 229 37 [30017]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||-----B--|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 230 38 [30018]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||------B-|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 231 39 [30019]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||-------B|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 232 40 [30020]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--------|B-------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 233 41 [30021]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--------|-B------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0412, task 234 42 [30022]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--------|--B-----||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 93 29 [534401]: mask |--------|--------||--------|-----B--||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 94 30 [534402]: mask |--------|--------||--------|------B-||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 95 31 [534403]: mask |--------|--------||--------|-------B||--------|--------||--------|--------||||--------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 96 32 [534404]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||B-------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 97 33 [534405]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||-B------|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 98 34 [534406]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--B-----|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0406, task 99 35 [534407]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||---B----|--------||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 171 43 [27919]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--------|---B----||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 172 44 [27920]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--------|----B---||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 173 45 [27921]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--------|-----B--||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 174 46 [27922]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--------|------B-||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 175 47 [27923]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--------|-------B||--------|--------||--------|--------||--------|--------|  set
cpu-bind=MASK - n2cn0410, task 176 48 [27924]: mask |--------|--------||--------|--------||--------|--------||--------|--------||||--------|--------||B-------|--------||--------|--------||--------|--------|  set
